ANTIDEPRESSANTS (level PKI-1)
R-CITALOPRAM	QUINIDINE	CYP2D6	PKI-1	third-tier
DULOXETINE	QUINIDINE	CYP2D6	PKI-1	third-tier
ESCITALOPRAM	QUINIDINE	CYP2D6	PKI-1	third-tier
FLUOXETINE	QUINIDINE	CYP2D6	PKI-1	third-tier
FLUVOXAMINE	QUINIDINE	CYP2D6	PKI-1	third-tier
VENLAFAXINE	QUINIDINE	CYP2D6	PKI-1	third-tier
R-CITALOPRAM	ITRACONAZOLE	CYP3A4	PKI-1	third-tier
ESCITALOPRAM	ITRACONAZOLE	CYP3A4	PKI-1	third-tier
VENLAFAXINE	ITRACONAZOLE	CYP3A4	PKI-1	third-tier
R-CITALOPRAM	VERAPAMIL	CYP3A4	PKI-1	third-tier
ESCITALOPRAM	VERAPAMIL	CYP3A4	PKI-1	third-tier
VENLAFAXINE	VERAPAMIL	CYP3A4	PKI-1	third-tier
R-CITALOPRAM	TERBINAFINE	CYP2D6	PKI-1	third-tier
DULOXETINE	TERBINAFINE	CYP2D6	PKI-1	third-tier
ESCITALOPRAM	TERBINAFINE	CYP2D6	PKI-1	third-tier
FLUOXETINE	TERBINAFINE	CYP2D6	PKI-1	third-tier
FLUVOXAMINE	TERBINAFINE	CYP2D6	PKI-1	third-tier
VENLAFAXINE	TERBINAFINE	CYP2D6	PKI-1	third-tier
R-CITALOPRAM	TELITHROMYCIN	CYP3A4	PKI-1	third-tier
ESCITALOPRAM	TELITHROMYCIN	CYP3A4	PKI-1	third-tier
VENLAFAXINE	TELITHROMYCIN	CYP3A4	PKI-1	third-tier
R-CITALOPRAM	SERTRALINE	CYP2D6	PKI-1	third-tier
DULOXETINE	SERTRALINE	CYP2D6	PKI-1	third-tier
ESCITALOPRAM	SERTRALINE	CYP2D6	PKI-1	third-tier
FLUOXETINE	SERTRALINE	CYP2D6	PKI-1	third-tier
FLUVOXAMINE	SERTRALINE	CYP2D6	PKI-1	third-tier
VENLAFAXINE	SERTRALINE	CYP2D6	PKI-1	third-tier
R-CITALOPRAM	RITONAVIR	CYP3A4	PKI-1	third-tier
ESCITALOPRAM	RITONAVIR	CYP3A4	PKI-1	third-tier
VENLAFAXINE	RITONAVIR	CYP3A4	PKI-1	third-tier
R-CITALOPRAM	PAROXETINE	CYP2D6	PKI-1	third-tier
DULOXETINE	PAROXETINE	CYP2D6	PKI-1	third-tier
ESCITALOPRAM	PAROXETINE	CYP2D6	PKI-1	third-tier
FLUOXETINE	PAROXETINE	CYP2D6	PKI-1	third-tier
FLUVOXAMINE	PAROXETINE	CYP2D6	PKI-1	third-tier
