ANTIDEPRESSANTS (level PKI-1)
R-CITALOPRAM	QUINIDINE	CYP2D6	PKI-1	fourth-tier
DULOXETINE	QUINIDINE	CYP2D6	PKI-1	fourth-tier
ESCITALOPRAM	QUINIDINE	CYP2D6	PKI-1	fourth-tier
FLUOXETINE	QUINIDINE	CYP2D6	PKI-1	fourth-tier
FLUVOXAMINE	QUINIDINE	CYP2D6	PKI-1	fourth-tier
MIRTAZAPINE	QUINIDINE	CYP2D6	PKI-1	fourth-tier
PAROXETINE	QUINIDINE	CYP2D6	PKI-1	fourth-tier
VENLAFAXINE	QUINIDINE	CYP2D6	PKI-1	fourth-tier
R-CITALOPRAM	ITRACONAZOLE	CYP3A4	PKI-1	fourth-tier
ESCITALOPRAM	ITRACONAZOLE	CYP3A4	PKI-1	fourth-tier
MIRTAZAPINE	ITRACONAZOLE	CYP3A4	PKI-1	fourth-tier
TRAZODONE	ITRACONAZOLE	CYP3A4	PKI-1	fourth-tier
VENLAFAXINE	ITRACONAZOLE	CYP3A4	PKI-1	fourth-tier
R-CITALOPRAM	ZAFIRLUKAST	CYP3A4	PKI-1	fourth-tier
ESCITALOPRAM	ZAFIRLUKAST	CYP3A4	PKI-1	fourth-tier
MIRTAZAPINE	ZAFIRLUKAST	CYP3A4	PKI-1	fourth-tier
TRAZODONE	ZAFIRLUKAST	CYP3A4	PKI-1	fourth-tier
VENLAFAXINE	ZAFIRLUKAST	CYP3A4	PKI-1	fourth-tier
R-CITALOPRAM	VORICONAZOLE-N-OXIDE	CYP3A4	PKI-1	fourth-tier
ESCITALOPRAM	VORICONAZOLE-N-OXIDE	CYP3A4	PKI-1	fourth-tier
MIRTAZAPINE	VORICONAZOLE-N-OXIDE	CYP3A4	PKI-1	fourth-tier
TRAZODONE	VORICONAZOLE-N-OXIDE	CYP3A4	PKI-1	fourth-tier
VENLAFAXINE	VORICONAZOLE-N-OXIDE	CYP3A4	PKI-1	fourth-tier
CITALOPRAM	VORICONAZOLE-N-OXIDE	CYP2C19	PKI-1	fourth-tier
SERTRALINE	VORICONAZOLE-N-OXIDE	CYP2C19	PKI-1	fourth-tier
R-CITALOPRAM	VORICONAZOLE	CYP3A4	PKI-1	fourth-tier
ESCITALOPRAM	VORICONAZOLE	CYP3A4	PKI-1	fourth-tier
MIRTAZAPINE	VORICONAZOLE	CYP3A4	PKI-1	fourth-tier
TRAZODONE	VORICONAZOLE	CYP3A4	PKI-1	fourth-tier
VENLAFAXINE	VORICONAZOLE	CYP3A4	PKI-1	fourth-tier
CITALOPRAM	VORICONAZOLE	CYP2C19	PKI-1	fourth-tier
SERTRALINE	VORICONAZOLE	CYP2C19	PKI-1	fourth-tier
MIRTAZAPINE	VERAPAMIL	CYP3A5	PKI-1	fourth-tier
R-CITALOPRAM	VERAPAMIL	CYP3A4	PKI-1	fourth-tier
ESCITALOPRAM	VERAPAMIL	CYP3A4	PKI-1	fourth-tier
MIRTAZAPINE	VERAPAMIL	CYP3A4	PKI-1	fourth-tier
TRAZODONE	VERAPAMIL	CYP3A4	PKI-1	fourth-tier
VENLAFAXINE	VERAPAMIL	CYP3A4	PKI-1	fourth-tier
